"codcompra","mododisputa","disputaaberto","aditivos","vigencia_inicio","vigencia_fim","anos","valor_inicial","valor_global","diferenca_valor","percentual_diferenca_valor"
"25446299000042019","Aberto","True","5","2019-07-01","2021-06-20","2.0","2866882.07","76911.6","-2789970.47","-97.31723879385106"
"25446299000062019","Aberto","True","5","2019-07-10","2021-09-15","2.0","1404520.96","48238.92","-1356282.04","-96.56545388970201"
"25446299000072019","Aberto","True","5","2019-08-08","2021-08-12","2.0","3141262.35","3246311.33","105048.98","3.3441644885216286"
"25446299000132019","Aberto","True","5","2019-10-12","2021-06-16","2.0","3017160.65","125863.05","-2891297.6","-95.82842729968655"
"25446299000172019","Aberto","True","5","2020-01-02","2021-11-20","1.0","2805983.51","2977275.82","171292.31","6.104537300007156"
"25446299000192019","Aberto","True","5","2019-11-04","2021-03-27","2.0","546893.71","546893.71","0.0","0.0"
"25446299000212019","Fechado","False","5","2020-01-02","2022-08-31","2.0","486545.99","14194.93","-472351.06","-97.08251012406865"
"39301399003502019","Fechado","False","4","2020-01-30","2023-10-25","3.0","15965921.48","15965921.48","0.0","0.0"
"39301999002312019","Aberto","True","3","2020-03-25","2024-03-14","4.0","40487682.93","40487682.93","0.0","0.0"
"39302299003162019","Aberto","True","3","2020-02-11","2022-11-28","2.0","1343142.1","1343142.1","0.0","0.0"
"39302399002832019","Aberto","True","4","2020-04-23","2023-01-23","3.0","76954834.52","84173042.03","7218207.51","9.379797325305196"
"39302999001922019","Aberto","True","6","2019-10-08","2021-06-14","2.0","417888.02","515680.06","97792.04","23.401494017464294"
"15014999000012020","Aberto","True","2","2020-07-15","2021-02-08","1.0","156000.0","179116.09","23116.09","14.81800641025641"
"15014999000022020","Aberto","True","2","2020-10-05","2021-07-17","1.0","488993.25","488993.25","0.0","0.0"
"15018299000022020","Aberto","True","5","2020-07-02","2022-12-21","2.0","187457.82","393176.08","205718.26","109.74109268954477"
"15018299000062020","Aberto","True","5","2020-10-19","2023-04-19","3.0","384085.1","384085.1","0.0","0.0"
"15018299000072020","Aberto","True","5","2020-10-29","2023-04-29","3.0","486665.72","538690.29","52024.57","10.690000931234689"
"15225399000012020","Aberto","True","4","2020-10-26","2021-02-28","1.0","31796.85","31796.85","0.0","0.0"
